Linux 6.17.0-20-generic (turzo-HP-OmniBook-5-Laptop) 	04/19/2026 	_x86_64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:03 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     18.00     43.00 6992348  251296   3.21  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:04 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      7.00     12.00 5328220  237920   3.04  java
05:28:04 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7     29.00     84.00 6992348  252196   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:05 PM  1000    657504    0.00    1.00    0.00    0.00    1.00     7      4.00      8.00 5328220  238124   3.05  java
05:28:05 PM  1000    657655    0.00    1.00    0.00    0.00    1.00     7      9.00      2.00 6992348  251864   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:06 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  237996   3.04  java
05:28:06 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      4.00     24.00 6992348  251732   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:07 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.98      3.96 5328220  237772   3.04  java
05:28:07 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      2.97     14.85 6992348  251432   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:08 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  237772   3.04  java
05:28:08 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00      4.00 6992348  251232   3.21  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:09 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      2.00      2.00 5328220  237916   3.04  java
05:28:09 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      1.00     24.00 6992348  251976   3.22  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:10 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7     18.00      4.00 5328220  238928   3.06  java
05:28:10 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      3.00     12.00 6992348  252300   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:11 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238928   3.06  java
05:28:11 PM  1000    657655    1.00    0.00    0.00    0.00    1.00     7      0.00      0.00 6992348  252300   3.23  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:12 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      1.00      0.00 5328220  238928   3.06  java
05:28:12 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7     18.00     21.00 6992348  253248   3.24  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:28:13 PM  1000    657504    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 5328220  238928   3.06  java
05:28:13 PM  1000    657655    0.00    0.00    0.00    0.00    0.00     7      0.00      0.00 6992348  253248   3.24  java

